Country,Year,Predicted_Share
Equatorial Guinea,2025,6.627549428768477
Equatorial Guinea,2026,6.634241171089155
Equatorial Guinea,2027,6.623632199742037
Equatorial Guinea,2028,6.6087434155596565
Equatorial Guinea,2029,6.595922970986818
Equatorial Guinea,2030,6.5870472948005006
Eritrea,2020,78.09196475368496
Eritrea,2021,78.07102127142221
Eritrea,2022,78.05304268477781
Eritrea,2023,78.04257130578515
Eritrea,2024,78.03805029999371
Eritrea,2025,78.03668526502958
Eritrea,2026,78.0365194681921
Eritrea,2027,78.03663673895709
Eritrea,2028,78.03674476630933
Eritrea,2029,78.03680059911699
Eritrea,2030,78.03682279636304
Estonia,2020,27.502466128338547
Estonia,2021,26.884223647156617
Estonia,2022,26.12985340412932
Estonia,2023,25.36471225220243
Estonia,2024,24.685573270762625
Estonia,2025,24.144961545700696
Estonia,2026,23.753670871658514
Estonia,2027,23.49396219019884
Estonia,2028,23.33501501555726
Estonia,2029,23.24497678148064
Estonia,2030,23.197646798399457
Eswatini,2020,64.69531981202087
Eswatini,2021,64.46023038567101
Eswatini,2022,64.52123803031832
Eswatini,2023,64.77914877185975
Eswatini,2024,65.12347208459612
Eswatini,2025,65.46447594470271
Eswatini,2026,65.74836156009438
Eswatini,2027,65.95605846359807
Eswatini,2028,66.09247559624418
Eswatini,2029,66.1738844367665
Eswatini,2030,66.21835713083506
Ethiopia,2020,90.09041841684925
Ethiopia,2021,90.47823286166042
Ethiopia,2022,90.97889086380009
Ethiopia,2023,91.51949773086055
Ethiopia,2024,92.03270634580335
Ethiopia,2025,92.4700745018305
Ethiopia,2026,92.80831472975663
Ethiopia,2027,93.04723523438793
Ethiopia,2028,93.202062055883
Ethiopia,2029,93.29440667192372
Ethiopia,2030,93.34522754190742
Fiji,2020,32.63070149597297
Fiji,2021,33.19340155495139
Fiji,2022,33.80884312293588
Fiji,2023,34.399057943040475
Fiji,2024,34.90569991752902
Fiji,2025,35.29978585530817
Fiji,2026,35.57978850036959
Fiji,2027,35.762527970024145
Fiji,2028,35.87251748853467
Fiji,2029,35.933755848500525
Fiji,2030,35.96536722764681
Finland,2020,42.22507452759167
Finland,2021,40.98026969173053
Finland,2022,39.75849376958617
Finland,2023,38.683348985150474
Finland,2024,37.82036728793358
Finland,2025,37.182859858471325
Finland,2026,36.747242795204436
Finland,2027,36.471082262382325
Finland,2028,36.3083518056934
Finland,2029,36.21911154132813
Finland,2030,36.173528081862614
France,2020,14.136281668971064
France,2021,13.761575717130583
France,2022,13.30603318372427
France,2023,12.842969636252093
France,2024,12.429649871470652
France,2025,12.098187282103858
France,2026,11.856317324097136
France,2027,11.694481708455662
France,2028,11.594691444871707
France,2029,11.537791606410632
France,2030,11.507717233894525
Gabon,2020,87.91599423693647
Gabon,2021,87.90582111115786
Gabon,2022,87.45356879234413
Gabon,2023,86.75320083707226
Gabon,2024,85.99389466176939
Gabon,2025,85.31241728745162
Gabon,2026,84.77799232555805
Gabon,2027,84.40265748592597
Gabon,2028,84.16339550792178
Gabon,2029,84.02382532636844
Gabon,2030,83.94892289123865
Gambia,2020,50.17006218119327
Gambia,2021,51.21094797054023
Gambia,2022,52.31784165063748
Gambia,2023,53.32759543459767
Gambia,2024,54.14673338695038
Gambia,2025,54.74848050297068
Gambia,2026,55.153004569135845
Gambia,2027,55.40351213998309
Gambia,2028,55.54704872606615
Gambia,2029,55.62338043130614
Gambia,2030,55.661138038156295
Georgia,2020,30.13335041373147
Georgia,2021,31.476393029753144
Georgia,2022,32.837336469024706
Georgia,2023,34.05933911985049
Georgia,2024,35.05143486773412
Georgia,2025,35.78792924973383
Georgia,2026,36.29133387395822
Georgia,2027,36.609576854598934
Georgia,2028,36.79623053979589
Georgia,2029,36.898018596671875
Georgia,2030,36.94971025557479
Germany,2020,13.458925074283517
Germany,2021,12.817610469654351
Germany,2022,12.152072888545316
Germany,2023,11.529644181247075
Germany,2024,10.999925207734297
Germany,2025,10.587216658329318
Germany,2026,10.291633725164978
Germany,2027,10.096430389975021
Germany,2028,9.977277503870045
Germany,2029,9.90992384345779
Germany,2030,9.874610990451917
Ghana,2020,48.74702002208171
Ghana,2021,50.13079983360082
Ghana,2022,51.43482720521199
Ghana,2023,52.555808479877186
Ghana,2024,53.44190579492122
Ghana,2025,54.08907359805186
Ghana,2026,54.52714204634933
Ghana,2027,54.80254405375797
Ghana,2028,54.96358714473642
Ghana,2029,55.05127684056323
Ghana,2030,55.095776238918354
Greece,2020,14.45043796309274
Greece,2021,13.759123028212766
Greece,2022,13.153475974448545
Greece,2023,12.653584541099542
Greece,2024,12.263660208118756
Greece,2025,11.97654518665278
Greece,2026,11.777534462345104
Greece,2027,11.648084702515808
Greece,2028,11.569274535626844
Greece,2029,11.52445547413906
Greece,2030,11.500677922334516
Grenada,2020,10.624625878103759
Grenada,2021,10.528057091589234
Grenada,2022,10.474620085219051
Grenada,2023,10.462344540911296
Grenada,2024,10.480479038085448
Grenada,2025,10.514835086052408
